data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,disco_C_used,disco_C_percent
03/06/2025 19:41:48,2100.0,1.1,0,86.5,92341227520,36.5
03/06/2025 19:41:52,1400.0,1.9,0,86.6,92341231616,36.5
03/06/2025 19:41:57,2100.0,7.6,0,86.7,92341297152,36.5
03/06/2025 19:42:02,2100.0,12.5,0,86.7,92341526528,36.5
03/06/2025 19:42:07,1400.0,10.8,0,87.0,92341612544,36.5
03/06/2025 19:42:11,2100.0,9.6,0,87.4,92341702656,36.5
03/06/2025 19:42:16,1400.0,9.6,0,87.4,92341731328,36.5
03/06/2025 19:42:21,1400.0,4.7,0,87.4,92341751808,36.5
03/06/2025 19:42:26,2100.0,6.7,0,87.3,92341821440,36.5
03/06/2025 19:42:31,1400.0,1.3,0,87.3,92341825536,36.5
03/06/2025 19:42:36,1400.0,2.5,0,87.1,92346761216,36.5
03/06/2025 19:42:40,2100.0,9.7,0,87.1,92346847232,36.5
03/06/2025 19:42:45,2100.0,1.4,0,87.1,92346863616,36.5
