data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 01:07:01,1400.0,3.6,11.49,75.5,112052,391614,88881844224,35.2
05/06/2025 01:07:05,2100.0,6.0,11.57,76.0,112170,392494,88880492544,35.2
05/06/2025 01:07:09,2100.0,4.3,11.51,75.6,112320,393459,88880594944,35.2
05/06/2025 01:07:14,2100.0,2.7,11.54,75.8,112331,393479,88880611328,35.2
05/06/2025 01:07:18,2100.0,2.1,11.55,75.8,112517,394756,88879812608,35.2
05/06/2025 01:07:23,2100.0,3.0,11.47,75.3,112533,394777,88879865856,35.2
05/06/2025 01:07:28,1400.0,4.5,11.48,75.4,112695,395803,88879865856,35.2
05/06/2025 01:07:32,2100.0,9.0,11.47,75.3,112841,396415,88879931392,35.2
05/06/2025 01:07:37,2100.0,2.9,11.47,75.3,112981,397264,88879960064,35.2
05/06/2025 01:07:42,2100.0,1.5,11.46,75.3,113102,398061,88879898624,35.2
05/06/2025 01:07:46,2100.0,10.7,11.46,75.3,113317,399513,88879898624,35.2
05/06/2025 01:07:51,1400.0,1.9,11.46,75.3,113326,399527,88879902720,35.2
05/06/2025 01:07:56,1400.0,2.9,11.46,75.3,113517,400781,88879988736,35.2
05/06/2025 01:08:01,2100.0,9.1,11.55,75.9,113657,401611,88880123904,35.2
05/06/2025 01:08:05,2100.0,16.0,11.79,77.4,113837,402670,88880123904,35.2
05/06/2025 01:08:09,1400.0,1.6,11.8,77.5,113908,402710,88880123904,35.2
05/06/2025 01:08:14,1400.0,1.6,11.79,77.5,114146,404376,88880181248,35.2
05/06/2025 01:08:19,1400.0,2.2,11.58,76.0,114178,404607,88880181248,35.2
05/06/2025 01:08:24,2100.0,2.0,11.55,75.9,114443,406237,88880181248,35.2
05/06/2025 01:08:28,2100.0,3.9,11.46,75.3,114469,406276,88880115712,35.2
05/06/2025 01:08:33,2100.0,6.7,11.44,75.1,114673,407600,88880115712,35.2
05/06/2025 01:08:38,1400.0,1.7,11.44,75.1,114685,407616,88880136192,35.2
05/06/2025 01:08:43,1400.0,1.8,11.44,75.1,114920,409044,88880140288,35.2
05/06/2025 01:08:47,2100.0,6.1,11.46,75.2,114961,409235,88897392640,35.2
05/06/2025 01:08:52,2100.0,3.5,11.5,75.6,115097,409799,88897392640,35.2
05/06/2025 01:08:57,1400.0,2.3,11.51,75.6,115188,410409,88897409024,35.2
05/06/2025 01:09:01,1400.0,9.9,11.52,75.7,115188,410414,88897409024,35.2
05/06/2025 01:09:06,2100.0,3.0,11.52,75.6,115278,410959,88897409024,35.2
