data_hora,cpu_freq,cpu_percent,ram_used,ram_percent,sendPackages,receivePackages,disco_C_used,disco_C_percent
05/06/2025 17:06:11,1497.0,47.4,5.73,73.1,69768,168029,137028272128,53.7
05/06/2025 17:06:15,1497.0,50.7,5.73,73.2,69768,168029,137028272128,53.7
05/06/2025 17:06:18,2396.0,47.6,5.73,73.1,69769,168033,137028276224,53.7
05/06/2025 17:06:21,2396.0,50.0,5.72,73.0,69774,168048,137028276224,53.7
05/06/2025 17:06:24,2396.0,43.1,5.72,73.0,69775,168048,137028276224,53.7
05/06/2025 17:06:28,1497.0,49.1,5.71,72.9,69775,168048,137028276224,53.7
05/06/2025 17:06:31,1497.0,49.6,5.71,72.8,69776,168048,137028280320,53.7
05/06/2025 17:06:34,2396.0,45.7,5.71,72.8,69778,168051,137028280320,53.7
05/06/2025 17:06:38,1497.0,53.8,5.7,72.7,69778,168051,137028280320,53.7
05/06/2025 17:06:41,2396.0,51.6,5.7,72.7,69778,168051,137028280320,53.7
05/06/2025 17:06:44,1497.0,45.3,5.69,72.6,69778,168051,137028280320,53.7
05/06/2025 17:06:48,1497.0,49.8,5.69,72.6,69780,168052,137028280320,53.7
05/06/2025 17:06:51,1497.0,41.9,5.69,72.6,69780,168052,137028280320,53.7
05/06/2025 17:06:54,1497.0,54.8,5.69,72.6,69780,168053,137028284416,53.7
05/06/2025 17:06:58,1497.0,38.1,5.69,72.6,69781,168053,137028284416,53.7
05/06/2025 17:07:01,1497.0,43.4,5.69,72.6,69781,168053,137028284416,53.7
05/06/2025 17:07:04,2396.0,48.9,5.69,72.6,69781,168053,137028284416,53.7
05/06/2025 17:07:07,2396.0,54.1,5.69,72.6,69786,168055,137028284416,53.7
05/06/2025 17:07:11,1497.0,47.3,5.69,72.6,69787,168055,137028284416,53.7
05/06/2025 17:07:14,2396.0,45.7,5.69,72.6,69788,168055,137028284416,53.7
05/06/2025 17:07:17,2396.0,47.7,5.69,72.6,69788,168055,137028407296,53.7
05/06/2025 17:07:21,1497.0,52.2,5.69,72.6,69790,168055,137028407296,53.7
05/06/2025 17:07:24,1497.0,47.5,5.69,72.5,69792,168057,137028407296,53.7
05/06/2025 17:07:27,1497.0,70.9,5.72,73.0,69792,168057,137028407296,53.7
05/06/2025 17:07:31,1497.0,47.7,5.71,72.8,69793,168057,137028407296,53.7
05/06/2025 17:07:34,1497.0,51.1,5.71,72.8,69796,168060,137028407296,53.7
05/06/2025 17:07:37,1497.0,49.0,5.7,72.7,69797,168061,137028407296,53.7
05/06/2025 17:07:41,2396.0,42.3,5.69,72.6,69799,168063,137028411392,53.7
05/06/2025 17:07:44,1497.0,48.2,5.68,72.5,69799,168063,137028411392,53.7
05/06/2025 17:07:47,1497.0,46.5,5.68,72.5,69799,168063,137028411392,53.7
05/06/2025 17:07:51,1497.0,52.5,5.68,72.5,69799,168063,137028542464,53.7
05/06/2025 17:07:54,2396.0,50.9,5.79,73.9,70029,168223,137028542464,53.7
05/06/2025 17:07:58,2396.0,77.7,5.77,73.6,70057,168243,137028542464,53.7
05/06/2025 17:08:01,2396.0,40.5,5.54,70.6,70067,168243,137028542464,53.7
05/06/2025 17:08:04,2396.0,41.5,5.54,70.6,70076,168243,137028542464,53.7
05/06/2025 17:08:07,2396.0,20.1,5.53,70.6,70082,168243,137028542464,53.7
05/06/2025 17:08:10,2396.0,50.4,5.53,70.6,70082,168243,137028542464,53.7
05/06/2025 17:08:13,2396.0,48.8,5.53,70.5,70082,168243,137028542464,53.7
05/06/2025 17:08:17,2396.0,14.0,5.53,70.5,70082,168243,137028542464,53.7
05/06/2025 17:08:20,2396.0,43.1,5.53,70.5,70083,168244,137028542464,53.7
05/06/2025 17:08:23,2396.0,51.7,5.53,70.5,70090,168259,137029521408,53.7
05/06/2025 17:08:26,2396.0,48.8,5.53,70.5,70092,168259,137029521408,53.7
05/06/2025 17:08:29,2396.0,52.7,5.53,70.5,70095,168261,137029521408,53.7
05/06/2025 17:08:32,2396.0,46.7,5.51,70.3,70103,168263,137029521408,53.7
05/06/2025 17:08:35,2396.0,36.7,5.52,70.5,70112,168265,137029521408,53.7
05/06/2025 17:08:39,2396.0,47.1,5.54,70.7,70118,168267,137029521408,53.7
